document,method,path,status,mcp_family,capability,rule
azure-auth/retrieve.mdx,GET,/api/v1/auth/azure-auth/identities/{identityId},intentionally_omitted,identityAzureAuth,identityAzureAuth.admin,azure-auth-omitted
azure-auth/revoke.mdx,DELETE,/api/v1/auth/azure-auth/identities/{identityId},intentionally_omitted,identityAzureAuth,identityAzureAuth.admin,azure-auth-omitted
azure-auth/update.mdx,PATCH,/api/v1/auth/azure-auth/identities/{identityId},intentionally_omitted,identityAzureAuth,identityAzureAuth.admin,azure-auth-omitted
certificate-authorities/acme/create.mdx,POST,/api/v1/cert-manager/ca/acme,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/acme/delete.mdx,DELETE,/api/v1/cert-manager/ca/acme/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/acme/list.mdx,GET,/api/v1/cert-manager/ca/acme,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/acme/read.mdx,GET,/api/v1/cert-manager/ca/acme/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/acme/update.mdx,PATCH,/api/v1/cert-manager/ca/acme/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-acm-public-ca/create.mdx,POST,/api/v1/cert-manager/ca/aws-acm-public-ca,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-acm-public-ca/delete.mdx,DELETE,/api/v1/cert-manager/ca/aws-acm-public-ca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-acm-public-ca/list.mdx,GET,/api/v1/cert-manager/ca/aws-acm-public-ca,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-acm-public-ca/read.mdx,GET,/api/v1/cert-manager/ca/aws-acm-public-ca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-acm-public-ca/update.mdx,PATCH,/api/v1/cert-manager/ca/aws-acm-public-ca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-pca/create.mdx,POST,/api/v1/cert-manager/ca/aws-pca,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-pca/delete.mdx,DELETE,/api/v1/cert-manager/ca/aws-pca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-pca/list.mdx,GET,/api/v1/cert-manager/ca/aws-pca,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-pca/read.mdx,GET,/api/v1/cert-manager/ca/aws-pca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/aws-pca/update.mdx,PATCH,/api/v1/cert-manager/ca/aws-pca/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/digicert/create.mdx,POST,/api/v1/cert-manager/ca/digicert,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/digicert/delete.mdx,DELETE,/api/v1/cert-manager/ca/digicert/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/digicert/list.mdx,GET,/api/v1/cert-manager/ca/digicert,intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/digicert/read.mdx,GET,/api/v1/cert-manager/ca/digicert/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/digicert/update.mdx,PATCH,/api/v1/cert-manager/ca/digicert/{id},intentionally_omitted,certificateAuthorities.external,certificateAuthorities.external.admin,external-certificate-authorities-omitted
certificate-authorities/internal/cert.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/certificate,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/create-signing-config.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/signing-config,intentionally_omitted,certificateAuthorities.internal.signingConfig,certificateAuthorities.internal.signingConfig,internal-ca-signing-config-create-omitted
certificate-authorities/internal/create.mdx,POST,/api/v1/cert-manager/ca/internal,implemented,certificateAuthorities.internal,certificateAuthorities.internal.create,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-create
certificate-authorities/internal/crl.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/crls,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/csr.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/csr,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/delete.mdx,DELETE,/api/v1/cert-manager/ca/internal/{id},implemented,certificateAuthorities.internal,certificateAuthorities.internal.delete,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-delete
certificate-authorities/internal/get-auto-renewal.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/auto-renewal,intentionally_omitted,certificateAuthorities.internal.autoRenewal,certificateAuthorities.internal.autoRenewal,internal-ca-auto-renewal-read-omitted
certificate-authorities/internal/get-signing-config.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/signing-config,intentionally_omitted,certificateAuthorities.internal.signingConfig,certificateAuthorities.internal.signingConfig,internal-ca-signing-config-read-omitted
certificate-authorities/internal/import-cert.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/import-certificate,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/install-cert-adcs.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/install-certificate-adcs,intentionally_omitted,certificateAuthorities.internal.installation,certificateAuthorities.internal.installExternalCertificate,internal-ca-adcs-install-omitted
certificate-authorities/internal/install-cert-venafi.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/install-certificate-venafi,intentionally_omitted,certificateAuthorities.internal.installation,certificateAuthorities.internal.installExternalCertificate,internal-ca-venafi-install-omitted
certificate-authorities/internal/list-ca-certs.mdx,GET,/api/v1/cert-manager/ca/internal/{caId}/ca-certificates,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/list.mdx,GET,/api/v1/cert-manager/ca/internal,implemented,certificateAuthorities.internal,certificateAuthorities.read,internal-certificate-authorities-implemented--implemented-certificateauthorities-read
certificate-authorities/internal/read.mdx,GET,/api/v1/cert-manager/ca/internal/{id},implemented,certificateAuthorities.internal,certificateAuthorities.read,internal-certificate-authorities-implemented--implemented-certificateauthorities-read
certificate-authorities/internal/renew.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/renew,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/sign-intermediate.mdx,POST,/api/v1/cert-manager/ca/internal/{caId}/sign-intermediate,implemented,certificateAuthorities.internal,certificateAuthorities.internal.certificateOperations,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-certificateoperations
certificate-authorities/internal/update-auto-renewal.mdx,PATCH,/api/v1/cert-manager/ca/internal/{caId}/auto-renewal,intentionally_omitted,certificateAuthorities.internal.autoRenewal,certificateAuthorities.internal.autoRenewal,internal-ca-auto-renewal-update-omitted
certificate-authorities/internal/update-signing-config.mdx,PATCH,/api/v1/cert-manager/ca/internal/{caId}/signing-config,intentionally_omitted,certificateAuthorities.internal.signingConfig,certificateAuthorities.internal.signingConfig,internal-ca-signing-config-update-omitted
certificate-authorities/internal/update.mdx,PATCH,/api/v1/cert-manager/ca/internal/{id},implemented,certificateAuthorities.internal,certificateAuthorities.internal.update,internal-certificate-authorities-implemented--implemented-certificateauthorities-internal-update
certificate-policies/create.mdx,POST,/api/v1/cert-manager/certificate-policies,implemented,certificatePolicies,certificatePolicies.create,certificate-policy-create-implemented
certificate-policies/delete.mdx,DELETE,/api/v1/cert-manager/certificate-policies/{id},implemented,certificatePolicies,certificatePolicies.delete,certificate-policy-delete-implemented
certificate-policies/get-by-id.mdx,GET,/api/v1/cert-manager/certificate-policies/{id},implemented,certificatePolicies,certificatePolicies.read,certificate-policy-read-implemented
certificate-policies/list.mdx,GET,/api/v1/cert-manager/certificate-policies,implemented,certificatePolicies,certificatePolicies.read,certificate-policy-read-implemented
certificate-policies/update.mdx,PATCH,/api/v1/cert-manager/certificate-policies/{id},implemented,certificatePolicies,certificatePolicies.update,certificate-policy-update-implemented
certificate-profiles/create.mdx,POST,/api/v1/cert-manager/certificate-profiles,implemented,certificateProfiles,certificateProfiles.create,certificate-profiles-implemented--implemented-certificateprofiles-create
certificate-profiles/delete.mdx,DELETE,/api/v1/cert-manager/certificate-profiles/{id},implemented,certificateProfiles,certificateProfiles.delete,certificate-profiles-implemented--implemented-certificateprofiles-delete
